filename,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,genre
SANES - ARSINTA (Official Music Video)Ngancani Nanging Ora Iso Duweni (mp3cut.net).mp3,-183.43875,181.37599,-38.25005,36.532555,-6.0491357,-16.293358,18.726175,-11.752703,4.812138,5.80292,-7.924717,4.732818,-4.724682,dangdut
Shepin Misa - Dumes.mp3,-153.09448,213.35246,-32.965466,27.293936,17.75187,-8.40361,13.005355,-2.9444413,-1.6862978,5.6314487,2.5652297,-0.76732874,-1.6951717,dangdut
shinta - kau tercipta bukan untukku.mp3,-186.92397,195.06349,-27.70841,19.586525,12.434661,-4.4997997,14.587408,-5.2128243,-1.0426811,4.2923446,-5.1009502,-0.7050157,-1.9689949,dangdut
SHINTA -DUMES- GOYANG ESEK ESEK (Official Music Video) Iseh So Kelingan Kabeh Kenangan (mp3cut.net).mp3,-176.6704,186.13321,-22.43295,24.791267,5.562291,-7.420495,14.37989,-7.4357986,-1.6392348,3.636365,-2.7978203,2.9031112,2.6700425,dangdut
SHINTA ARSINTA - KISINAN - GOYANG ESEK ESEK (Official Music Video ) Tiwas Tak Gondeli Tenanan (mp3cut.net).mp3,-161.88927,192.02232,-40.318474,27.030773,0.23495503,-5.0391145,19.079819,-11.106065,4.388733,9.065133,-2.7791588,0.2882189,-1.4252871,dangdut
Shinta Arsinta - Lilakno Aku.mp3,-184.19429,182.6806,-33.407555,30.753174,18.577168,-1.1061386,15.009877,-10.562176,3.6006532,10.128755,-7.598164,2.4183192,4.3367543,dangdut
Shinta Arsinta - Santri Pekok Goyang Esek Esek Dangdut (Official Music Video) (mp3cut.net).mp3,-137.66238,198.9732,-54.20303,37.035362,18.557766,2.0761495,26.981346,-5.141625,6.0639777,7.5782027,-5.022788,4.885747,-2.5078557,dangdut
Shinta Arsinta - Surga Dibalik Dosa (Official Live Music) (mp3cut.net) (1).mp3,-165.71992,198.12515,-33.278984,20.421034,7.6749754,-3.3858502,11.2083845,-10.93302,4.6414785,3.0830219,-8.366128,4.8620925,0.62913686,dangdut
Shinta Arsinta feat Arya Galih - Lintang Asmoro (Official Music Video) Goyang Esek Esek (mp3cut.net).mp3,-166.47542,189.07207,-34.33059,28.278833,-7.740596,-6.603526,14.35952,-11.204378,6.126493,2.9121647,4.9624205,9.284895,-2.073764,dangdut
Shinta Arsinta feat Arya Galih - Nyekso Batin (mp3cut.net).mp3,-148.1412,183.57822,-39.47681,16.82967,17.009457,-3.6564956,9.301267,2.4087775,7.811819,3.8295887,2.4843187,6.6917915,1.180237,dangdut
SHINTA TERLALU (Official Music Video).mp3,-176.52753,186.1058,-33.41225,27.490078,1.6472666,0.0051158043,8.665471,-12.443761,12.454325,-0.79885626,-3.730892,7.104757,-4.4280386,dangdut
Siti Badriah   Pipi Mimi (mp3cut.net).mp3,-81.71629,81.131325,14.909331,32.374584,9.44958,5.084919,12.998173,-1.300323,5.095574,-1.1125224,-6.2008543,-1.04525,-12.024728,dangdut
Sule Kandas feat Yulidaria Cover (mp3cut.net).mp3,-107.75762,85.418526,20.712929,22.951773,1.9201012,0.7383139,-1.8071625,8.461176,-5.0716925,8.82721,-3.7740672,-0.6395793,-8.668519,dangdut
Surga Dibalik Dosa - Sagita.mp3,-169.30034,194.98036,-39.81349,22.722225,8.053723,-4.773046,13.373431,-10.655469,2.888925,1.0311193,-10.34648,1.7216706,-3.7093132,dangdut
Tasya Rosmala Nemu Ft Gerry Mahesa (mp3cut.net).mp3,-112.376755,83.48244,29.504324,22.605095,5.0765514,-7.306851,-8.429022,-8.229308,-14.991782,-3.76645,-8.405335,-5.003029,-11.286407,dangdut
TERLALU - SHINTA Aku Tak bisa Menahan Langkah Kakimu.mp3,-214.00377,196.39778,-21.407852,2.5521626,-1.3239616,2.879786,6.444616,-14.9096775,5.803839,3.4113777,-8.971762,-0.18617329,1.8694733,dangdut
Trio Macan Sambalado (mp3cut.net).mp3,-29.415102,92.26474,8.693159,15.830615,5.816337,-2.7504714,4.315899,-2.9992545,-6.879685,2.90224,-7.5396023,5.4438567,-6.078944,dangdut
Via Vallen Akhire Cidro (mp3cut.net).mp3,-95.60965,113.09948,20.44882,32.818928,6.396851,-3.342176,2.6886566,-0.6372229,-0.8218103,0.441407,-5.3726683,1.9364479,-3.698025,dangdut
Via Vallen and Chevra Kau Cantik Hari Ini Koplo Version (mp3cut.net).mp3,-140.7133,106.75946,33.239376,38.359623,1.9865493,10.899942,10.609946,2.0222783,-2.7327995,1.2396177,-5.4839706,-1.4145728,-6.294206,dangdut
Via Vallen Mencintai Dengan Ngeyel (Ra Kabeh Sing Mbok Perjuangke) (mp3cut.net).mp3,-127.77319,121.03704,22.745314,33.377068,10.509202,-0.16845496,3.4932616,-0.8264099,1.5070785,2.979089,-3.6931994,0.7523006,-4.590823,dangdut
Wawas - NEMEN.mp3,-59.33815,132.44077,1.0473049,30.48689,13.248307,-1.0529134,-2.0256689,2.8105676,-2.6115615,5.28597,0.07066529,-1.3059965,-1.4144652,dangdut
Wirang - Shinta Arsinta - Goyang Esek Esek (mp3cut.net).mp3,-161.16167,183.66725,-46.934628,41.75115,-8.795956,-15.338219,15.68154,-16.980581,6.5589566,1.8046232,-5.383475,9.124502,-4.9028645,dangdut
Wirang - Shinta Arsinta - Goyang.mp3,-161.16167,183.66725,-46.934628,41.75115,-8.795956,-15.338219,15.68154,-16.980581,6.5589566,1.8046232,-5.383475,9.124502,-4.9028645,dangdut
Afgan Pendam (mp3cut.net).mp3,-64.792366,115.60518,22.60462,25.267822,9.690195,12.720951,-1.7321717,2.1638188,-2.3089614,2.9589283,-7.6414623,-2.6787665,-2.7016752,pop
"Afgan, Andi Rianto Mengertilah Kasih (mp3cut.net).mp3",-175.08998,116.5153,11.161181,15.993019,13.385822,3.4835308,-5.885481,-2.620371,-3.0436702,0.85469204,-5.661741,-0.65960175,-3.549202,pop
Andmesh Anugerah Terindah (mp3cut.net).mp3,-89.835144,109.8341,15.306457,28.942066,8.065061,9.487702,-0.3034222,1.52695,-3.345072,2.1617084,-0.11597431,0.6278497,-7.799563,pop
Andmesh Putus Tapi Cinta (mp3cut.net).mp3,-121.7255,137.212,16.901573,8.861845,8.078699,12.412732,-3.9422162,3.419517,-7.900794,1.1752582,1.8130938,-1.6014124,-6.4115577,pop
Atta Halilintar and Aurel Hermansyah Ameena Feat Ameena (mp3cut.net).mp3,-69.495285,68.66392,13.186729,6.889509,-1.2056888,2.703992,0.6659883,5.0020485,5.282446,4.6507034,0.25927547,6.7340417,-0.92837286,pop
Aulia and Ridwan Kamu Yang Kutunggu Cover (mp3cut.net).mp3,-234.51442,111.45992,4.836644,14.925117,-2.1727345,5.70642,3.6171606,-1.6097022,-5.928675,3.7207117,-12.34182,-2.9580965,-0.25958753,pop
Aurelie Hermansyah Sembunyikan Luka (mp3cut.net).mp3,-116.476395,116.99296,9.7660055,29.207104,21.800304,7.8997884,14.52455,4.253559,-0.94335824,5.9132886,-10.013794,4.719476,3.0118804,pop
Berdamai Raisa.mp3,-85.974884,136.07135,-5.408862,3.140906,11.384713,-4.386938,16.013338,-6.074417,-6.4217844,14.673265,-16.764965,-3.9562595,-5.378441,pop
Cinta Tak Dibalas Cinta - Indah Aqila.mp3,-84.63326,105.693924,7.1003466,21.032026,7.3358817,4.4145856,7.2724967,-3.3119211,-0.17197742,4.647651,-8.9775915,2.1375146,-1.3105185,pop
Ghea Indrawari - Jiwa Yang Bersedih (Lirik).mp3,-140.93275,125.47966,1.9902728,19.896294,-10.964154,1.9298599,0.056274295,-14.23714,-2.676139,-7.0235534,-15.936167,-4.990844,-11.1771145,pop
Idgitaf - Satu-Satu (Official Lyric Video).mp3,-83.664604,97.48439,13.086036,32.180668,8.940556,6.6677723,15.715461,-7.064784,-0.09411078,13.067665,-11.054742,6.753134,-9.635097,pop
Indah Yastami Setengah Mati Merindu Judika Cover (mp3cut.net).mp3,-93.57089,96.73725,0.042241003,15.945938,-5.279147,6.850096,3.9308877,-16.406136,-5.768272,2.474128,-11.768707,-0.87096035,-25.922335,pop
Itu Aku - raissa anggiani.mp3,-139.48569,154.91753,3.6030357,3.6549666,-2.2785122,-6.306947,-0.70254457,-7.503551,-11.470372,5.9991083,-17.189035,-0.16393913,-16.48468,pop
Judika Aku Yang Terluka (mp3cut.net).mp3,-47.726044,95.742386,7.47023,26.70139,11.912439,15.790072,3.5081115,8.212734,-9.9994335,3.6617973,-4.3738604,-5.2988477,-6.8477387,pop
Judika Jikalau Kau Cinta.mp3,-133.5524,125.02068,4.1982436,18.212324,-5.30456,9.977465,-5.557231,1.5742203,-14.888507,3.773933,0.06879111,-5.5641394,-0.07994358,pop
Lihatlah Lebih Dekat - Yura Yunita.mp3,-80.13201,127.637634,-11.418991,23.096102,4.6116695,6.8649874,5.915804,-1.8796561,-9.864111,5.2898703,-9.179642,-3.175021,4.3044615,pop
Lyodra Pesan Terakhir (mp3cut.net).mp3,-98.303474,103.35179,17.88645,16.365187,30.316242,8.299449,4.879525,9.495626,-4.1018715,10.088792,-13.410983,1.7932839,-3.6569235,pop
Lyodra Tak Dianggap (mp3cut.net).mp3,-92.99853,116.514305,34.029556,15.825146,14.205128,-1.0971408,5.1098704,4.456573,-5.0006876,13.39555,-8.913402,-0.2312555,-4.1301026,pop
Mahalini Buru Buru (mp3cut.net).mp3,-42.829147,124.37679,7.0799074,18.678947,2.2505097,2.431986,-1.3363515,-2.3897405,-1.4669255,0.70960957,-7.454856,-1.7666514,-3.605931,pop
Mahalini Sial (mp3cut.net).mp3,-118.24564,151.89888,11.888149,6.952443,13.733163,-5.046415,9.738214,-14.688789,2.9724393,1.7166079,-4.0287247,-2.5725732,1.1324694,pop
Mahalini x Rizky Febian Satu Tuju (mp3cut.net).mp3,-19.13937,98.04643,-4.847502,8.604549,-6.0400805,1.1601104,2.1934736,-10.975053,-3.8086817,2.828074,-8.559004,-9.840869,-7.2182994,pop
perayaan mati rasa - Umay Shahab.mp3,-169.01227,136.32407,13.148089,9.12105,8.872327,7.088724,-2.6278946,-7.5276237,-4.5927944,-0.38419926,-8.89154,-10.254949,-6.755,pop
Raisa Apalah Arti Menunggu.mp3,-100.21926,113.16105,-15.877165,5.0981045,-3.4552505,-6.7782354,-5.121065,-14.341871,-15.742808,-0.008648474,-24.319134,-4.296216,-14.707905,pop
Raisa Berdamai (mp3cut.net).mp3,-127.79983,130.5805,-6.0136447,-4.2782974,5.493739,-8.111509,8.193323,-11.664895,-9.825286,7.560114,-17.685343,-8.77002,-8.708865,pop
Raisa Bertahan (Pergi) (mp3cut.net).mp3,-102.99754,114.542725,27.278624,15.739521,18.253153,4.8711762,11.235953,-1.0091753,-2.1154015,10.105231,-11.221077,-3.3664558,-5.6098604,pop
Raisa Nyaman Tak Cukup (mp3cut.net).mp3,-83.04691,121.59421,27.057535,16.467794,8.933538,1.8906641,9.9647455,0.84830403,-4.7843103,9.961085,-9.664047,-3.9379168,-4.71236,pop
Raisa Tak Bisa Cukup.mp3,-21.290165,105.1442,5.4544864,11.932954,6.368948,2.1241658,8.780239,-0.088937856,-3.5798755,8.616075,-10.268946,-1.6179817,-4.645518,pop
"Raisa, Ahmad Dhani Biar Menjadi Kenangan (mp3cut.net).mp3",-5.3393345,101.86656,8.634886,12.51501,5.39208,12.571631,3.597566,3.9337234,-4.5265765,11.336741,-2.6236558,2.0184696,-1.1501403,pop
Rayuan Perempuan Gila - Nadin Amizah.mp3,-150.71921,137.69296,5.9740586,29.171173,8.238458,7.911701,10.73198,-3.4408386,3.038137,7.940202,-8.398105,-1.1258106,-7.3303194,pop
Rizky Febian Aminlah Bersamaku (mp3cut.net).mp3,-115.977,116.30614,3.220085,8.220624,-5.677688,3.3086312,-8.0226965,0.08624088,-8.29696,-10.515573,-13.51695,-9.023435,-3.6498773,pop
Rizky Febian Membisu (mp3cut.net).mp3,-52.16924,95.72076,14.631699,8.617486,-2.8215506,9.777636,-6.24813,3.6220062,-6.0562153,-0.53115755,-4.5084696,0.6065125,-4.5719013,pop
Rizky Febian Mungkinkan ini Cinta.mp3,-72.69428,89.81395,22.790613,18.289005,3.7171962,10.438846,-4.0562134,7.159213,0.23696645,1.6626092,-1.7351555,2.2946947,-0.7086392,pop
Rizky Febian Satu Tuju (mp3cut.net.mp3,-13.713294,101.73742,0.6152287,12.983072,-1.9294738,5.7236605,3.851875,-5.4189434,-5.9949303,3.626019,-6.5692167,-7.033774,-5.174326,pop
Rossa Ku tlah pergi.mp3,-44.369045,109.756805,3.193596,23.239176,5.679508,-4.0712867,-2.188662,-1.3346629,-12.870396,-2.261446,-13.058208,-7.3134933,-8.305604,pop
Rossa Lupakan Cinta (mp3cut.net).mp3,-150.8242,110.415565,0.4608759,18.707487,1.5669724,-4.591974,-5.4684596,-3.379262,-13.426122,-4.8007264,-14.057227,-5.3349323,-8.535453,pop
Rossa Terlalu Berharap (mp3cut.net).mp3,-259.6913,139.62311,-10.40417,24.34979,10.324012,3.3259277,3.9241712,-6.8501983,-9.454543,1.4189993,-10.10969,-1.5893275,-0.98769885,pop
Scalavacoustic Jikalau Kau Cinta Judika Cover (mp3cut.net).mp3,-215.45834,135.42737,13.985026,24.107292,1.4764292,8.179489,-13.566734,-2.4661424,-15.11439,0.05352878,-3.727782,-9.598383,-9.27654,pop
Separuh Nafas - Dewa 19.mp3,7.289867,71.78186,2.2930167,23.575872,-2.9609716,13.123597,-3.327986,7.717753,-4.5627155,2.0710144,-1.5813915,1.5707842,-3.9447086,pop
Surat Hati - Devano.mp3,-167.24689,136.47621,13.196462,9.219991,8.763775,6.762388,-2.3356009,-7.4850373,-4.735849,-0.48499212,-8.803801,-10.291623,-6.695054,pop
Tami Aulia Apalah Arti Menunggu Raisa Cover (mp3cut.net).mp3,-196.95934,117.04311,6.2965293,8.925197,-0.581448,-8.951482,-5.388702,-14.008069,-10.261653,-2.3350148,-21.852077,-9.520364,-13.78819,pop
Tami Aulia Jalan Pulang Cover.mp3,-99.91396,126.78846,12.135478,29.571402,-1.1028577,4.5763683,3.9928603,4.1889534,-7.9172053,4.243863,-8.1945915,-3.0585117,-3.132702,pop
Tami Aulia- Buru Buru Cover.mp3,-42.829147,124.37679,7.0799074,18.678947,2.2505097,2.431986,-1.3363515,-2.3897405,-1.4669255,0.70960957,-7.454856,-1.7666514,-3.605931,pop
Terlalu Berharap Rossa.mp3,-206.98007,134.64737,-17.166042,18.61766,8.163686,3.8613586,3.9346626,-4.94219,-9.436472,3.7844925,-12.396636,-3.1650593,0.05712796,pop
Tiara Andini Apalagi.mp3,-42.50647,105.183075,2.0766587,24.441278,13.107192,7.0205803,6.3111343,2.1796472,-4.0897517,2.6990283,-8.886276,-1.6767398,-4.6656914,pop
Tiara Andini Tega (mp3cut.net).mp3,-108.43641,103.43136,2.9849422,16.888945,13.571279,2.4653816,4.366768,-2.4580946,-10.565005,5.2130275,-15.089673,-4.2106385,-6.3411365,pop
Yastami Setengah Mati Merindu Judika.mp3,-65.82089,114.28156,4.725158,20.088638,3.8082883,12.092393,1.7561088,-5.3605986,-5.0420732,-0.8401258,-9.57124,-1.4392768,-19.830997,pop
"Yovie Widianto Menyesal ft Lyodra, Tiara Andini, Ziva Magnolya (mp3cut.net).mp3",-131.86604,135.38948,2.8033612,8.217771,10.04104,-11.406948,3.5902534,-5.5215116,-11.31225,9.340837,-16.440453,-2.5929873,-6.4225674,pop
Yovie Widianto Menyesal.mp3,-84.16442,109.712944,-3.4653914,-5.179069,-0.8047138,-11.382629,-0.073474705,-7.669604,-15.519318,2.4284759,-17.693132,-6.730947,-7.933367,pop
Yura Yunita Jalan Pulang (mp3cut.net).mp3,-177.94115,124.58069,16.997028,34.119576,-0.559625,4.7457023,0.9391512,-2.7879832,-12.86215,-1.841234,-14.162859,-9.358506,-5.950194,pop
Yura Yunita Lihatlah Lebih Dekat (mp3cut.net).mp3,-120.24291,144.9334,-17.359873,29.727802,1.1096431,2.6888142,3.622034,-1.4648256,-5.1774173,4.8710895,-3.6810472,0.21660452,-1.7550155,pop
(Pov Drum Cover) Yang Terdalam NOAH.mp3,-19.119879,73.51145,-15.800771,34.04805,2.7020142,16.144417,3.231233,6.823768,6.5731153,12.16584,4.3023543,10.355381,-1.1535301,rock
ANGGI_MARITO_-_Tak_Segampang_Itu.mp3,-42.387688,65.356895,-3.9146023,26.524841,2.5673075,8.135282,4.6473308,4.067069,5.857408,6.7895947,-0.59639835,4.9270988,-2.6912072,rock
BATAS_SENJA_-_Nanti_Kita_Seperti_Ini_V2.mp3,-28.679276,90.14199,8.511546,34.336857,6.158442,8.065661,-3.4120216,5.255274,-0.7809475,0.8739554,1.3056138,6.5427804,-2.3740463,rock
Cover Drum View Kekasih Tolol - SUPERIOTS feat Manda Rose.mp3,-120.49468,195.97711,-73.57286,54.117588,7.812695,-6.82364,16.116053,-14.759895,16.937576,-0.010355049,-5.916446,10.335115,-7.2118692,rock
Cover Rock Drum View - Terendap Laraku Naff.mp3,6.5598183,97.39833,15.726219,37.0343,-1.1178476,18.92297,4.687215,6.260495,-3.0411146,9.18132,-2.324217,-0.35540548,-2.2024527,rock
Drum View Rock Cover - Jika Cinta Dia.mp3,-28.920786,85.7761,-0.7570388,34.97173,-3.2976143,6.6368723,-0.75470835,3.8767514,-5.1277137,3.847338,-5.523106,2.877084,-0.96971637,rock
DUMES WAWES feat GUYON WATON.mp3,-72.17495,87.4263,2.1931858,36.81628,5.323303,10.82341,4.17284,9.648326,8.901398,5.1696076,-0.4044565,7.169884,-0.45867938,rock
FIVE_MINUTES_-_Selamat_Tinggal.mp3,-91.20214,98.38654,14.58285,34.60273,-2.537134,16.362608,2.9334607,4.588081,-3.11575,7.158089,-0.12045815,1.1248676,-3.9182892,rock
For_Revenge_X_Stereo_Wall_-_Jakarta_Hari_Ini.mp3,-87.63562,107.51761,3.9428122,33.84339,14.771376,-8.063002,15.147455,-3.6735277,5.7714906,0.1458213,-13.755376,4.5134788,-8.903398,rock
GEISHA_-_Jika_Cinta_Dia.mp3,-28.401745,83.27358,-0.32080844,35.07238,-2.7236798,9.605689,1.1595947,5.990732,-2.992502,4.1086745,-3.7990427,5.799112,0.94973207,rock
GEISHA_-_Karena_Kamu.mp3,-6.495364,86.6644,-17.51798,20.341892,-10.7930975,7.333967,1.3435043,0.46496832,0.6619587,0.31819806,-6.4226794,2.4131064,-3.693799,rock
GHEA_INDRAWARI_-_Jiwa_Yang_Bersedih_(Pov_Drum_Cover_by_Sunguiks).mp3,-34.925907,80.59383,-9.757152,36.297447,-0.52508277,10.539267,0.018449517,2.84245,4.2876544,5.047516,-2.5039945,4.6072,-5.019616,rock
GOLIATH - Masih Disini Masih Denganmu.mp3,-35.29146,79.065575,-6.3427963,44.499382,3.3361628,12.215562,1.6554728,8.019877,5.961416,6.7663913,-0.751933,6.9323406,-2.8557277,rock
J-Rocks - Ceria (Lyrics).mp3,-45.373318,68.121704,1.7624432,28.823093,19.001265,14.488527,8.042215,5.181506,-3.1331558,6.4211326,1.1233412,-0.10427812,-1.8153038,rock
Jamrud_-_Putri.mp3,-95.470856,77.11037,-22.476227,11.460604,12.783493,10.993583,-4.932794,15.193359,3.306892,6.146412,2.261929,2.5177324,-5.7369742,rock
Kenangan Sebuah Mimpi Tinky Winky Cover.mp3,-97.48136,189.86235,-70.85566,62.273643,0.59936464,-7.006337,24.319088,-12.683299,16.458609,1.6096963,-4.457912,7.867455,-6.6921725,rock
KOMANG - Raim Laode_.mp3,-21.47822,81.85556,-14.459121,37.316563,0.82958245,12.761941,2.1145377,5.440874,3.880659,7.1471796,-1.5962057,2.5962074,-3.4876523,rock
Komang Rock Cover - Laode.mp3,-14.411481,82.205795,-17.07087,35.832,-1.611032,13.437373,2.7849724,5.5733504,5.2473373,8.351776,-2.3420696,3.525255,-3.176413,rock
KOTAK - Satu Indonesia (Video Lyrics).mp3,-70.15846,78.47046,-8.146864,20.964788,-2.083216,5.0095897,4.8413444,14.107616,1.915163,5.8854437,1.0984203,3.8543384,-2.9368901,rock
kotak___beraksi.mp3,-3.4984906,77.35409,-13.09466,42.45332,5.988359,1.226858,0.57982755,13.050696,1.0492573,6.9855285,1.1782572,6.0658636,0.7396443,rock
Last Child - Seluruh Nafas Ini ft. Giselle (mp3cut.net).mp3,-166.45221,186.64499,-35.891464,41.115852,5.2858276,8.78247,18.134436,-11.096765,21.77734,-1.3192579,-13.03213,13.136404,1.0402063,rock
Lo Toe Ye - Rif.mp3,-140.40564,101.50934,-31.178795,42.92554,6.6338887,16.762611,-6.0669136,14.920416,-2.0555253,7.1468987,-0.15173784,6.8284335,-5.571525,rock
Mario_G_Klau_-_Semata_Karenamu.mp3,-19.659107,92.21393,-10.252514,28.349388,15.390858,5.7558804,-8.97045,17.25225,10.364635,5.943466,0.38873816,9.404462,0.093328014,rock
Masih Disini Denganmu Cover Rock Goliath.mp3,-26.274326,77.064125,-6.8410635,43.449394,3.625305,12.041661,1.80314,8.483643,4.782004,6.2310367,-1.3320296,6.960044,-3.4825828,rock
NaFF - Terendap Laraku.mp3,-35.076515,103.20431,15.390935,36.87819,1.3385385,15.735046,5.5771055,2.869204,-2.978446,7.2742767,-2.430239,-1.1459361,-1.9680573,rock
